tick_min,arrivals,capacity,picked,backlog,cum_arrivals,cum_picked,cum_on_time,on_time_pct_cum,avg_dwell_min_cum,effective_throughput_per_hour
0,5,4,4,1,5,4,4,100.0,0.0,240.0
1,6,6,6,1,11,10,10,100.0,0.1,300.0
2,3,4,4,0,14,14,14,100.0,0.14285714285714285,280.0
3,5,5,5,0,19,19,19,100.0,0.10526315789473684,285.0
4,5,4,4,1,24,23,23,100.0,0.08695652173913043,276.0
5,6,6,6,1,30,29,29,100.0,0.10344827586206896,290.0
6,5,6,6,0,35,35,35,100.0,0.11428571428571428,300.0
7,5,4,4,1,40,39,39,100.0,0.10256410256410256,292.5
8,5,4,4,2,45,43,43,100.0,0.11627906976744186,286.6666666666667
9,6,5,5,3,51,48,48,100.0,0.14583333333333334,288.0
10,5,4,4,4,56,52,52,100.0,0.19230769230769232,283.6363636363636
11,6,5,5,5,62,57,57,100.0,0.24561403508771928,285.0
12,5,5,5,5,67,62,62,100.0,0.3064516129032258,286.15384615384613
13,6,5,5,6,73,67,67,100.0,0.3582089552238806,287.1428571428571
14,5,5,5,6,78,72,72,100.0,0.4027777777777778,288.0
15,7,5,5,8,85,77,77,100.0,0.45454545454545453,288.75
16,4,4,4,8,89,81,81,100.0,0.49382716049382713,285.88235294117646
17,6,6,6,8,95,87,87,100.0,0.5747126436781609,290.0
18,5,4,4,9,100,91,91,100.0,0.6153846153846154,287.3684210526316
19,4,6,6,7,104,97,97,100.0,0.6804123711340206,291.0
20,6,6,6,7,110,103,103,100.0,0.7281553398058253,294.28571428571433
21,4,5,5,6,114,108,108,100.0,0.75,294.54545454545456
22,5,5,5,6,119,113,113,100.0,0.7787610619469026,294.78260869565213
23,6,5,5,7,125,118,118,100.0,0.7966101694915254,295.0
24,6,5,5,8,131,123,123,100.0,0.8130081300813008,295.2
25,5,6,6,7,136,129,129,100.0,0.8372093023255814,297.6923076923077
26,4,5,5,6,140,134,134,100.0,0.8582089552238806,297.77777777777777
27,5,4,4,7,145,138,138,100.0,0.8768115942028986,295.7142857142857
28,5,6,6,6,150,144,144,100.0,0.8958333333333334,297.9310344827586
29,4,6,6,4,154,150,150,100.0,0.9066666666666666,300.0
30,3,5,5,2,157,155,155,100.0,0.9032258064516129,300.0
31,5,6,6,1,162,161,161,100.0,0.8819875776397516,301.875
32,6,6,6,1,168,167,167,100.0,0.8562874251497006,303.6363636363636
33,5,5,5,1,173,172,172,100.0,0.8372093023255814,303.52941176470586
34,6,5,5,2,179,177,177,100.0,0.8192090395480226,303.42857142857144
35,4,4,4,2,183,181,181,100.0,0.8121546961325967,301.6666666666667
36,4,5,5,1,187,186,186,100.0,0.8010752688172043,301.6216216216216
37,5,6,6,0,192,192,192,100.0,0.78125,303.1578947368421
38,5,5,5,0,197,197,197,100.0,0.7614213197969543,303.0769230769231
39,6,5,5,1,203,202,202,100.0,0.7425742574257426,303.0
40,5,4,4,2,208,206,206,100.0,0.7330097087378641,301.4634146341463
41,5,5,5,2,213,211,211,100.0,0.7251184834123223,301.42857142857144
42,4,5,5,1,217,216,216,100.0,0.7175925925925926,301.3953488372093
43,5,5,5,1,222,221,221,100.0,0.7058823529411765,301.3636363636364
44,5,5,5,1,227,226,226,100.0,0.6946902654867256,301.3333333333333
45,6,5,5,2,233,231,231,100.0,0.683982683982684,301.30434782608694
46,5,5,5,2,238,236,236,100.0,0.6779661016949152,301.27659574468083
47,3,4,4,1,241,240,240,100.0,0.675,300.0
48,4,4,4,1,245,244,244,100.0,0.6680327868852459,298.7755102040816
49,5,4,4,2,250,248,248,100.0,0.6612903225806451,297.6
50,5,6,6,1,255,254,254,100.0,0.6535433070866141,298.8235294117647
51,5,6,6,0,260,260,260,100.0,0.6423076923076924,300.0
52,4,5,4,0,264,264,264,100.0,0.6325757575757576,298.8679245283019
53,4,5,4,0,268,268,268,100.0,0.6231343283582089,297.77777777777777
54,6,3,3,3,274,271,271,100.0,0.6162361623616236,295.6363636363637
55,5,5,5,3,279,276,276,100.0,0.6159420289855072,295.7142857142857
56,4,4,4,3,283,280,280,100.0,0.6178571428571429,294.7368421052632
57,5,4,4,4,288,284,284,100.0,0.6197183098591549,293.7931034482758
58,5,5,5,4,293,289,289,100.0,0.6228373702422145,293.8983050847458
59,7,5,5,6,300,294,294,100.0,0.6258503401360545,294.0
60,4,5,5,5,304,299,299,100.0,0.6321070234113713,294.09836065573774
61,5,6,6,4,309,305,305,100.0,0.639344262295082,295.1612903225806
62,6,5,5,5,315,310,310,100.0,0.6419354838709678,295.23809523809524
63,6,4,4,7,321,314,314,100.0,0.6464968152866242,294.375
64,4,4,4,7,325,318,318,100.0,0.6540880503144654,293.53846153846155
65,5,4,4,8,330,322,322,100.0,0.6677018633540373,292.72727272727275
66,6,5,5,9,336,327,327,100.0,0.6819571865443425,292.8358208955224
67,4,4,4,9,340,331,331,100.0,0.6948640483383686,292.0588235294117
68,5,6,6,8,345,337,337,100.0,0.7151335311572701,293.04347826086956
69,7,8,8,7,352,345,345,100.0,0.7304347826086957,295.7142857142857
70,5,4,4,8,357,349,349,100.0,0.7335243553008596,294.92957746478874
71,3,5,5,6,360,354,354,100.0,0.7457627118644068,295.0
72,4,5,5,5,364,359,359,100.0,0.7576601671309192,295.0684931506849
73,4,5,5,4,368,364,364,100.0,0.7637362637362637,295.13513513513516
74,6,5,5,5,374,369,369,100.0,0.7642276422764228,295.2
75,5,4,4,6,379,373,373,100.0,0.7667560321715817,294.4736842105263
76,3,5,5,4,382,378,378,100.0,0.7724867724867724,294.54545454545456
77,5,7,7,2,387,385,385,100.0,0.7714285714285715,296.1538461538462
